1 0.871176 0.302437 0.254332 0.196263 0.787576 1
1 0.871044 0.306193 0.254914 0.19251 0.856343 1
1 0.866448 0.300607 0.263405 0.200411 0.842673 1
1 0.866282 0.304937 0.266639 0.195682 0.814142 1
1 0.874129 0.276686 0.251742 0.202449 0.921451 1
3 0.759748 0.881064 0.475979 0.233874 0.424671
3 0.854165 0.909995 0.288975 0.174673 0.299612
1 0.876392 0.243851 0.247216 0.20543 0.743605 1
4 0.836509 0.204549 0.326982 0.294364 0.533806 1
1 0.838643 0.216918 0.322714 0.251888 0.264867 1
4 0.827403 0.194241 0.345195 0.303343 0.5521 1
1 0.884298 0.27942 0.231404 0.196095 0.248182
2 0.87878 0.278364 0.242439 0.200132 0.210978
3 0.83938 0.902283 0.316372 0.192583 0.190435
1 0.841202 0.301704 0.314266 0.223285 0.474918
3 0.80579 0.92426 0.38842 0.149849 0.416387
3 0.716308 0.925144 0.567385 0.149465 0.114804
1 0.841202 0.301704 0.314266 0.223285 0.474918
3 0.80579 0.92426 0.38842 0.149849 0.416387
3 0.719168 0.945059 0.561664 0.109881 0.618591
3 0.804212 0.941256 0.391576 0.113103 0.509735
1 0.842138 0.346281 0.312198 0.237196 0.276245
3 0.719168 0.945059 0.561664 0.109881 0.618591 39
3 0.702441 0.94881 0.594771 0.10238 0.253239 39
3 0.702031 0.934211 0.595937 0.131253 0.621307 39
3 0.731666 0.908457 0.536668 0.154622 0.672376 39
3 0.719469 0.905998 0.557755 0.173235 0.832719 39
3 0.716158 0.912272 0.567514 0.162438 0.192103 39
3 0.707188 0.904588 0.585623 0.181376 0.774029 39
1 0.885197 0.334479 0.223631 0.201192 0.740568 40
3 0.732387 0.923852 0.535227 0.147836 0.622633 39
1 0.843695 0.336742 0.306184 0.212869 0.397199 40
3 0.795815 0.920259 0.408371 0.159481 0.538161 39
1 0.837028 0.337309 0.325944 0.218294 0.76501 40
3 0.778022 0.924258 0.386703 0.151439 0.668545 39
1 0.769578 0.37984 0.349408 0.193979 0.221824 40
3 0.785999 0.908855 0.416526 0.178377 0.62476 39
1 0.778907 0.382346 0.354132 0.186862 0.698483 40
1 0.717479 0.395597 0.314948 0.179081 0.792075 40
1 0.716841 0.397201 0.323634 0.179367 0.643459 40
3 0.873322 0.91453 0.253356 0.165438 0.380803
3 0.82088 0.928101 0.358241 0.141257 0.23049
3 0.873322 0.91453 0.253356 0.165438 0.380803
1 0.685308 0.507982 0.273043 0.172242 0.689186 40
1 0.688247 0.51283 0.273389 0.17077 0.831824 40
3 0.822013 0.938358 0.355973 0.123284 0.575502 39
1 0.691645 0.487425 0.268102 0.174316 0.855933 40
3 0.853881 0.916463 0.292237 0.148698 0.607939 39
1 0.693568 0.479756 0.26818 0.186125 0.897951 40
3 0.857808 0.904217 0.284385 0.178339 0.820648 39
1 0.711523 0.472561 0.260696 0.17624 0.907415 40
3 0.869606 0.900953 0.260787 0.173167 0.265675 39
1 0.71087 0.478155 0.26671 0.172389 0.888938 40
3 0.872336 0.889263 0.255329 0.209481 0.732296 39
1 0.719008 0.463123 0.253267 0.172456 0.796858 40
3 0.865668 0.896359 0.268664 0.188284 0.257406 39
1 0.718945 0.465065 0.255431 0.167904 0.77599 40
3 0.86694 0.889123 0.266119 0.214946 0.461816 39
1 0.714875 0.460255 0.263079 0.172 0.842884 40
3 0.865939 0.899131 0.268121 0.192821 0.219938 39
1 0.715443 0.463332 0.264707 0.17386 0.509097 40
3 0.868801 0.891436 0.262398 0.213593 0.354375 39
1 0.714395 0.459715 0.266414 0.175361 0.871965 40
3 0.866256 0.901452 0.267489 0.190989 0.220332 39
1 0.712382 0.463233 0.274 0.176655 0.825375 40
3 0.866774 0.893107 0.266452 0.211703 0.643553 39
1 0.720279 0.451979 0.262433 0.172219 0.804952 40
1 0.719707 0.452865 0.267416 0.175716 0.797081 40
3 0.701486 0.946054 0.597007 0.104729 0.697456 46
1 0.732072 0.440232 0.258222 0.17066 0.936212 40
1 0.733041 0.440058 0.257885 0.171823 0.905313 40
